title	publication_date	journal	doi	url	citation_count	score	tags	innovation	limitations	next_steps	mof_relevance	transfer_distance	mof_transfer_route
Reactive Molecular Dynamics of Hydrogen Evolution at Charged Interfaces Using Machine Learning Potentials	2026-07-14	ChemRxiv	https://doi.org/10.26434/chemrxiv.15006079/v1	https://doi.org/10.26434/chemrxiv.15006079/v1	0	11.033	catalysis,dft,electrocatalysis,equivariant_ml,h2,interatomic_potential,md,ml,separation,two_d_material,water	Here, we develop an equivariant machine learning interatomic potential trained on density functional theory data for electrochemically activated MoS2/water interfaces under charged conditions.	Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled. Likely sensitive to training-set coverage and transferability across chemistries.	Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties. Test humid or multicomponent conditions and connect material metrics to process-level targets.	Representation-learning advance may transfer to MOFs after adding porous-crystal topology and metal-node chemistry.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
AI/ML-Enabled Advanced Oxidation for Real Wastewater Treatment: Mechanistic Evidence, Multi-Objective Optimization, and Scale-Up Roadmaps	2026-06-29	Catalysts	https://doi.org/10.3390/catal16070596	https://doi.org/10.3390/catal16070596	0	10.567	catalysis,h2,high_throughput,ml,review,uncertainty	Advanced oxidation processes (AOPs) are widely applied to degrade recalcitrant organic contaminants in municipal effluents, industrial wastewaters, and water-reuse streams.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Add kinetics, explicit environment effects, and active-site reconstruction checks.	Active-learning or uncertainty workflow could help decide which MOF DFT/MD/GCMC labels are worth generating next.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Few-Shot Ensemble Learning for Catalysis and Application to Trimetallics for Oxygen Reduction	2026-03-02	ACS Catalysis	https://doi.org/10.1021/acscatal.5c08168	https://doi.org/10.1021/acscatal.5c08168	1	10.538	adsorption,alloy,catalysis,dft,h2,high_throughput,interatomic_potential,transfer_learning,uncertainty	Machine-learned interatomic potentials (MLIPs) are increasingly used to accelerate catalyst discovery, but their accuracy and utility are often unclear, particularly when applying them to different computational setups or design spaces than those of the training data.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Electronic-structure trends may be stronger than finite-temperature dynamics, solvent, or kinetics.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
A green solvent screening tool for emerging materials via uncertainty aware, transformer enhanced transfer learning	2026-06-11	arXiv (Cornell University)		https://arxiv.org/abs/2606.13060	0	10.167	battery,catalysis,h2,high_throughput,ml,transfer_learning,uncertainty	Overall, we augment data on solubility descriptors by orders of magnitude with high quality predictions.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Interpretable Machine Learning of Nanoparticle Stability through Topological Layer Embeddings	2026-06-27	The Journal of Physical Chemistry A	https://doi.org/10.1021/acs.jpca.6c01508	https://doi.org/10.1021/acs.jpca.6c01508	0	10.044	dft,h2,ml,symbolic_regression	Here, we introduce a data-efficient and physically interpretable machine-learning framework based on a fragmented, layer-resolved descriptor that explicitly decomposes nanoparticles into surface, intermediate, and core environments using a topology-driven definition.	Likely sensitive to training-set coverage and transferability across chemistries. Electronic-structure trends may be stronger than finite-temperature dynamics, solvent, or kinetics.	Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Potentially useful as a neighboring-method reference.	distant method analogy	Keep only if the full paper exposes a reusable representation, validation loop, or data-efficiency strategy for a concrete MOF task.
A data-efficient reactive machine learning potential to accelerate automated exploration of complex reaction networks	2026-01-12	ChemRxiv	https://doi.org/10.26434/chemrxiv-2025-sm7f3-v2	https://doi.org/10.26434/chemrxiv-2025-sm7f3-v2	2	9.599	active_learning,high_throughput,interatomic_potential,md,ml,separation	Reactive machine learning potentials (MLPs) significantly benefits high-throughput exploration of complex reaction networks.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Test humid or multicomponent conditions and connect material metrics to process-level targets.	Active-learning or uncertainty workflow could help decide which MOF DFT/MD/GCMC labels are worth generating next.	distant method analogy	Use uncertainty or acquisition logic to choose which MOF DFT, MD, or GCMC labels to compute next.
Machine Learning Prediction of Thermal Properties of PHB/PHBV-Based Materials: A Quantitative Structure–Property Relationship Approach Using an Integrated Polymer Database	2026-06-23	Polymers	https://doi.org/10.3390/polym18131559	https://doi.org/10.3390/polym18131559	0	9.500	crystal,h2,high_throughput,ml,polymer,transfer_learning	Two ML models, Random Forest (RF) and eXtreme Gradient Boosting (XGBoost), were utilized to predict values of Tg, Tc, and Tm using feature engineering methods that integrated chemistry-based descriptors with polymer-specific and experimental variables.	Likely sensitive to training-set coverage and transferability across chemistries. Screening conclusions may depend on idealized structures, force fields, and missing defects/flexibility.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	adjacent materials	Fine-tune or adapt the representation on sparse MOF labels such as flexibility, defects, guest response, or adsorption regimes.
Leveraging Hidden-Space Representations Effectively in Bayesian Optimization for Experiment Design through Dimension-Aware Hyperpriors	2026-02-09	ChemRxiv	https://doi.org/10.26434/chemrxiv.10001986/v2	https://doi.org/10.26434/chemrxiv.10001986/v2	0	9.411	active_learning,foundation_model,gnn,h2,high_throughput,ml,uncertainty	We demonstrate that different chemical representations induce substantial variations in search-space dimensionality, which, when paired with fixed or mismatched lengthscale hyperpriors, lead to flat marginal likelihood landscapes and severely degrade surrogate learning and acquisition optimization.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	distant method analogy	Fine-tune or adapt the representation on sparse MOF labels such as flexibility, defects, guest response, or adsorption regimes.
Machine learning approaches to optimization in chemical compound space	2026-01-01	cIRcle (University of British Columbia)		http://hdl.handle.net/2429/94787	0	9.178	active_learning,catalysis,h2,md,ml,physics_informed,transfer_learning	This thesis develops data-driven strategies for optimization in molecular descriptor-property space, a central challenge in chemistry with applications ranging from drug discovery to catalyst design.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Hierarchical Multi-Fidelity Learning for Predicting Three-Dimensional Flame Wrinkling and Turbulent Burning Velocity	2026-05-06	arXiv (Cornell University)		https://arxiv.org/abs/2605.08232	0	8.967	h2,md,ml,separation,surrogate_model	Here, we develop a hierarchical multi-fidelity neural network framework (MuFiNNs) to address this challenge by integrating sparse high-fidelity experimental data with structured low-fidelity representations encoding dominant physical trends.	Likely sensitive to training-set coverage and transferability across chemistries.	Test humid or multicomponent conditions and connect material metrics to process-level targets. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Potentially useful as a neighboring-method reference.	distant method analogy	Keep only if the full paper exposes a reusable representation, validation loop, or data-efficiency strategy for a concrete MOF task.
A GAN-Augmented Machine Learning Framework for Predicting Raman Characteristics in Carbon Nanofiber Synthesis	2026-01-14	Open MIND	https://doi.org/10.11575/prism/51023	https://hdl.handle.net/1880/123989	0	8.522	catalysis,ml,physics_informed,transfer_learning	This thesis explores a hybrid data-driven framework for predicting the structural quality of Carbon Nanofibers (CNFs) synthesized via Chemical Vapor Deposition (CVD).	Likely sensitive to training-set coverage and transferability across chemistries. Catalytic conclusions are likely thermodynamics-heavy unless kinetics or explicit environment are included.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Add kinetics, explicit environment effects, and active-site reconstruction checks.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Expert-Informed Contrastive Learning of Condition Space for Amide Coupling Reactions	2026-03-18	ChemRxiv	https://doi.org/10.26434/chemrxiv.15001054/v1	https://doi.org/10.26434/chemrxiv.15001054/v1	0	8.422	h2,high_throughput,ml,self_supervised,separation	Here, we present a novel machine learning framework designed to generate chemically relevant representations for sets of conditions.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Likely sensitive to training-set coverage and transferability across chemistries.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Test humid or multicomponent conditions and connect material metrics to process-level targets.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	distant method analogy	Fine-tune or adapt the representation on sparse MOF labels such as flexibility, defects, guest response, or adsorption regimes.
An overview of reaction outcome prediction with physics-based and data-driven methods	2026-01-01	Chemical Society Reviews	https://doi.org/10.1039/d6cs00079g	https://doi.org/10.1039/d6cs00079g	0	8.378	h2,interatomic_potential,md,ml,review,separation,uncertainty	.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Test humid or multicomponent conditions and connect material metrics to process-level targets.	Active-learning or uncertainty workflow could help decide which MOF DFT/MD/GCMC labels are worth generating next.	distant method analogy	Use uncertainty or acquisition logic to choose which MOF DFT, MD, or GCMC labels to compute next.
ScopeMap: An AI-Assisted, Human-in-the-Loop Workflow for Mapping Reaction Scope and Boundaries	2026-01-16	ChemRxiv	https://doi.org/10.26434/chemrxiv-2026-kqz7d	https://doi.org/10.26434/chemrxiv-2026-kqz7d	0	7.744	h2,reaction_dataset	Herein, we introduce ScopeMap, an iterative, human-in-the-loop workflow designed to efficiently map functional limits rather than merely maximizing performance.	Catalyst generality inferred from sparse historical reaction data can still reflect reporting bias and needs targeted validation.	Rebuild the workflow on MOF catalytic reaction families with explicit scaffold generality, reporting-bias, and validation splits.	Reaction-specific small-data workflow is useful for MOF catalysis if catalyst generality, literature bias, and scaffold validation are made explicit.	distant method analogy	Adapt catalyst-generality scoring to MOF catalytic reaction families, biased literature data, and targeted experimental or DFT validation.
Out-of-Distribution Generalization for Neural Physics Solvers	2026-01-27	arXiv (Cornell University)		http://arxiv.org/abs/2601.19091	0	6.867	h2,md,ml,uncertainty	We introduce NOVA, a route to generalizable neural physics solvers that can provide rapid, accurate solutions to scenarios even under distributional shifts in partial differential equation parameters, geometries and initial conditions.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Active-learning or uncertainty workflow could help decide which MOF DFT/MD/GCMC labels are worth generating next.	distant method analogy	Use uncertainty or acquisition logic to choose which MOF DFT, MD, or GCMC labels to compute next.
Expanding frontiers of complex reaction network exploration through a general reactive machine learning potential	2025-05-29	Research Square	https://doi.org/10.21203/rs.3.rs-6458754/v1	https://doi.org/10.21203/rs.3.rs-6458754/v1	0	4.167	interatomic_potential,ml	Expanding frontiers of complex reaction network exploration through a general reactive machine learning potential	Likely sensitive to training-set coverage and transferability across chemistries.	Extend training to guest-loaded, distorted, and diffusion-transition configurations. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	MLIP route can transfer to MOFs if trained on flexible, guest-loaded, and charged configurations.	distant method analogy	Use the MLIP workflow for flexible, guest-loaded, charged, or diffusion-transition MOF configurations.
Artificial intelligence-driven platform for catalytic reactor discovery and optimization applied to carbon dioxide valorization	2025-02-20	ChemRxiv	https://doi.org/10.26434/chemrxiv-2025-3gstc	https://doi.org/10.26434/chemrxiv-2025-3gstc	0	4.078	active_learning,co2,high_throughput,ml,oxide	It integrates the parametric design and analysis of advanced structures from mathematic models (Reac-Gen), the high-resolution 3D printing and functionalization of catalytic reactors (Reac-Fab) with an algorithm that validates the printability of reactor designs and a self-driving laboratory platform (Reac-Eval) capable of parallel multi-reactor evaluations featuring real-time NMR monitoring and machine learning (ML) simultaneous optimization of process parameters and topologic descriptors.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Active-learning or uncertainty workflow could help decide which MOF DFT/MD/GCMC labels are worth generating next.	adjacent materials	Use uncertainty or acquisition logic to choose which MOF DFT, MD, or GCMC labels to compute next.
